index,id,caused_delay_time,replication,scenario,number_of_vehicles
0,223,21234.3474576378,1,5,1421
1,244,20947.44132818936,3,5,1422
2,233,95101.40910881128,4,5,4230
3,216,95044.019035438,4,5,4226
4,42,94408.93777076052,4,5,4183
5,362,95355.58426539748,5,5,4231
6,244,94738.31265511883,5,5,4216
7,18,93604.52131998318,5,5,4171
8,216,21167.987772388657,6,5,1420
9,263,21327.278560525578,7,5,1423
10,216,21298.76446530714,8,5,1420
11,466,43190.86910974768,9,5,2855
12,227,42905.584521104916,9,5,2836
13,259,74241.02972987069,10,5,2839
14,198,74149.31583171154,10,5,2832
